PERGUNTAS,CLASSES
"['categoria', 'floresta', 'aleatório']",conceito
"['floresta', 'aleatório', 'pertencer', 'categoria']",conceito
"['tipo', 'poder', 'classificar', 'floresta', 'aleatório']",conceito
"['árvore', 'decisão']",conceito
"['definição', 'árvore', 'decisão']",conceito
"['árvore', 'decisão', 'funcionar', 'maneira']",conceito
"['como', 'definir', 'árvore', 'decisão']",conceito
"['como', 'poder', 'descrever', 'árvore', 'decisão']",conceito
[],
[],definição
[],definição
['ia'],definição
"['inteligência', 'artificial']",definição
"['árvore', 'decisão']",definição
"['quando', 'primeiro', 'propor']",história
"['quando', 'propor']",história
"['ano', 'propor']",história
"['ano', 'surgir']",história
"['quando', 'inventar']",história
['propor'],história
['desenvolver'],história
['criar'],história
['desenvolver'],história
['publicar'],história
"['como', 'diferente', 'outro', 'árvore', 'decisão']",comparação
"['como', 'diferir', 'outro', 'árvore', 'decisão']",comparação
"['como', 'diferente', 'outro', 'próximo']",comparação
"['formar', 'diferente', 'outro', 'decisão']",comparação
"['diferente', 'outro', 'árvore', 'decisão']",comparação
"['formar', 'melhor', 'outro', 'semelhante']",comparação
"['como', 'melhor', 'outro', 'semelhante']",comparação
"['diferença', 'outro', 'próximo']",comparação
"['destacar', 'relação', 'outro']",comparação
"['porque', 'melhor', 'escolha', 'outro', 'árvore', 'decisão']",comparação
"['área', 'computar', 'usar']",aplicacao
"['área', 'computar', 'poder', 'usar']",aplicacao
"['área', 'computar', 'usar']",aplicacao
"['área', 'computar', 'poder', 'usar']",aplicacao
"['área', 'computar', 'poder', 'encontrar']",aplicacao
"['vantagem', 'setor', 'bancário']",aplicacao
"['poder', 'usar', 'setor', 'bancário']",aplicacao
"['poder', 'usar', 'setor', 'bancário']",aplicacao
"['poder', 'usar', 'setor', 'bancário']",aplicacao
"['com', 'utilidade', 'aparecer', 'setor', 'bancário']",aplicacao
"['vantagem', 'setor', 'financeiro']",aplicacao
"['poder', 'usar', 'setor', 'financeiro']",aplicacao
"['poder', 'usar', 'setor', 'financeiro']",aplicacao
"['poder', 'usar', 'setor', 'financeiro']",aplicacao
"['com', 'utilidade', 'aparecer', 'setor', 'financeiro']",aplicacao
"['vantagem', 'área', 'saúde']",aplicacao
"['poder', 'usar', 'área', 'saúde']",aplicacao
"['poder', 'usar', 'área', 'saúde']",aplicacao
"['poder', 'usar', 'área', 'saúde']",aplicacao
"['com', 'utilidade', 'aparecer', 'área', 'saúde']",aplicacao
"['vantagem', 'comércio', 'eletrônico']",aplicacao
"['poder', 'usar', 'comércio', 'eletrônico']",aplicacao
"['poder', 'usar', 'comércio', 'eletrônico']",aplicacao
"['poder', 'usar', 'comércio', 'eletrônico']",aplicacao
"['com', 'utilidade', 'aparecer', 'comércio', 'eletrônico']",aplicacao
"['como', 'funcionar']",funcionamento
"['como', 'funcionar']",funcionamento
"['formar', 'funcionar']",funcionamento
"['forma', 'funcionar']",funcionamento
"['formar', 'funcionar']",funcionamento
"['como', 'aumentar', 'eficiência', 'dedução']",melhoria
"['como', 'aumentar', 'eficiência', 'predição']",melhoria
"['como', 'aumentar', 'qualidade', 'predição']",melhoria
"['como', 'aumentar', 'qualidade', 'dedução']",melhoria
"['forma', 'poder', 'aumentar', 'capacidade', 'dedução']",melhoria
"['tempo', 'treinar', 'comparar', 'outro', 'dedução']",pré-processamento
"['como', 'tempo', 'treinar', 'comparar', 'outro', 'dedução']",pré-processamento
"['tempo', 'levar', 'treinar', 'comparar', 'outro', 'semelhante']",pré-processamento
"['diferença', 'tempo', 'treinar', 'e', 'outro', 'semelhante']",pré-processamento
"['tempo', 'treinar', 'diferir', 'outro', 'semelhante']",pré-processamento
"['tempo', 'execução', 'comparar', 'outro', 'semelhante']",pós-processamento
"['tempo', 'execução', 'comparar', 'outro', 'próximo']",pós-processamento
"['tempo', 'execução', 'comparar', 'outro', 'decisão']",pós-processamento
"['tempo', 'execução', 'comparar', 'outro', 'dedução']",pós-processamento
"['tempo', 'execução', 'quando', 'comparar', 'outro', 'semelhante']",pós-processamento
"['relação', 'entre', 'qualidade', 'resultado', 'e', 'quantidade', 'árvore']",melhoria
"['como', 'relação', 'entre', 'qualidade', 'resultado', 'e', 'quantidade', 'árvore']",melhoria
"['formar', 'qualidade', 'resultado', 'estar', 'relacionar', 'com', 'quantidade', 'árvore']",melhoria
"['como', 'quantidade', 'árvore', 'afetar', 'qualidade', 'resultado']",melhoria
"['formar', 'quantidade', 'árvore', 'afetar', 'qualidade', 'resultado']",melhoria
"['contribuir', 'evolução']",história
"['pessoa', 'contribuir', 'evolução']",história
"['principal', 'contribuir', 'evolução']",história
"['cientista', 'computar', 'contribuir', 'evolução']",história
"['cientista', 'computar', 'contribuir', 'desenvolvimento']",história
"['diferença', 'entre', 'e', 'forests']",diferença
"['diferença', 'entre', 'forests', 'e']",diferença
"['como', 'diferente', 'forests']",diferença
"['como', 'forests', 'diferente']",diferença
"['diferir', 'forests']",diferença
"['forests', 'trazer', 'novo']",história
"['forests', 'agregar']",história
"['extensão', 'forests', 'trazer', 'novo']",história
"['extensão', 'forests', 'agregar']",história
"['forests', 'trazer']",história
"['com', 'facilidade', 'poder', '-se', 'aprender', 'usar']",usabilidade
"['com', 'facilidade', 'poder', 'aprender', 'usar']",usabilidade
"['com', 'facilidade', 'poder', 'aprender', 'usar']",usabilidade
"['com', 'facilidade', 'poder', '-se', 'aprender', 'implementar']",usabilidade
"['com', 'facilidade', 'poder', 'aprender', 'implementar']",usabilidade
"['dever', 'usar', 'meu', 'sistema']",usabilidade
"['dever', 'usar', 'meu', 'sistema']",usabilidade
"['eu', 'usar', 'meu', 'sistema']",usabilidade
"['eu', 'implementar', 'meu', 'sistema']",usabilidade
"['eu', 'agregar', 'meu', 'sistema']",usabilidade
"['como', 'funcionar']",funcionamento
"['maneira', 'comportar']",funcionamento
['comportar'],funcionamento
"['como', 'funcionar']",funcionamento
"['descrever', 'mecanismo', 'funcionar']",funcionamento
['objetivo'],aplicação
['função'],aplicação
['meta'],aplicação
"['definir', 'propósito']",aplicação
['intenção'],aplicação
"['vantagem', 'utilizar']",usabilidade
"['beneficiar', 'utilizar']",usabilidade
"['beneficiar', 'uso']",usabilidade
"['proveito', 'utilizar']",usabilidade
"['primazia', 'utilizar']",usabilidade
"['melhor', 'outro']",usabilidade
"['maneira', 'destacar', 'sobre', 'outro']",diferença
"['como', 'melhor', 'outro']",diferença
"['ponto', 'demais', 'tendém', 'pior']",diferença
"['ponto', 'demais', 'tendém', 'não', 'tão', 'eficiente', 'comparação']",diferença
"['diga', 'possível', 'ambiente', 'aplicação']",aplicação
"['diga', 'possível', 'uso', 'aplicação']",aplicação
"['prática', 'onde', 'poder', 'utilizar']",aplicação
"['possível', 'ambiente', 'poder', 'utilizar']",aplicação
"['dizer', 'possível', 'execução', 'ambiente', 'real']",aplicação
"['diferença', 'entre', 'e', 'árvore', 'decisão']",comparação
"['citar', 'diferença', 'entre', 'e', 'árvore', 'decisão']",comparação
"['relação', 'entre', 'e', 'árvore', 'decisão']",comparação
"['dissemelhança', 'entre', 'e', 'árvore', 'decisão']",comparação
"['distinção', 'entre', 'e', 'árvore', 'decisão']",comparação
"['importância', 'hiperparâmetros']",nEstimators
"['relevancia', 'hiperparâmetros']",nEstimators
"['real', 'valor', 'hiperparâmetros']",nEstimators
"['valor', 'hiperparâmetros']",nEstimators
"['interesse', 'escolha', 'hiperparâmetros']",nEstimators
"['três', 'hiperparâmetros']",nEstimators
['hiperparâmetros'],nEstimators
"['citar', 'três', 'hiperparâmetros']",nEstimators
"['citar', 'principal', 'hiperparâmetros']",nEstimators
"['citar', 'hiperparâmetros']",nEstimators
"['citar', 'hiperparâmetros', 'definir', 'velocidade', 'modelo']",nEstimators
"['citar', 'três', 'hiperparâmetros', 'definir', 'velocidade', 'modelo']",nEstimators
"['hiperparâmetros', 'definir', 'velocidade', 'modelo']",nEstimators
"['três', 'hiperparâmetros', 'definir', 'velocidade', 'modelo']",nEstimators
"['diga', 'hiperparâmetros', 'definir', 'velocidade', 'modelo']",nEstimators
"['como', 'performance']",usabilidade
"['quão', 'boa', 'performance']",usabilidade
"['como', 'desempenho']",usabilidade
"['como', 'desempenho']",usabilidade
"['eficiência', 'praticar']",usabilidade
['limitar'],limitação
"['citar', 'limitar']",limitação
['deficiência'],limitação
"['citar', 'deficiência']",limitação
['macular'],limitação
"['como', 'dar', 'treinar']",treinamento
"['quão', 'efetivo', 'treinar']",treinamento
"['quão', 'rapido', 'treinar']",treinamento
"['como', 'dar', 'velocidade', 'treinar']",treinamento
"['quão', 'ágil', 'treinar']",treinamento
"['diferença', 'entre', 'features', 'produzir', 'grande', 'e', 'pequeno', 'valor']",comparação
"['como', 'diferença', 'entre', 'features', 'produzir', 'grande', 'e', 'pequeno', 'valor']",comparação
"['igualdade', 'entre', 'features', 'produzir', 'grande', 'e', 'pequeno', 'valor']",comparação
"['discrepância', 'entre', 'features', 'produzir', 'grande', 'e', 'pequeno', 'valor']",comparação
"['defina', 'discrepância', 'entre', 'features', 'produzir', 'grande', 'e', 'pequeno', 'valor']",comparação
"['pra', 'servir', 'hiperparametro', 'n', 'estimators']",nEstimators
"['importância', 'hiperparametro', 'n', 'estimators']",nEstimators
"['relevância', 'hiperparametro', 'n', 'estimators']",nEstimators
"['definir', 'importância', 'hiperparametro', 'n', 'estimators']",nEstimators
"['defina', 'relevância', 'hiperparametro', 'n', 'estimators']",nEstimators
['bagged'],baggedForest
"['definir', 'bagged']",baggedForest
"['explicar', 'bagged']",baggedForest
"['estabelecer', 'significado', 'bagged']",baggedForest
"['dar', 'significado', 'bagged']",baggedForest
[],baggedForest
"['descrever', 'relação', 'entre', 'e', 'kernel', 'methods']",diferença
"['diferença', 'enter', 'e', 'kernel']",diferença
['kernel'],diferença
"['definir', 'kernel']",diferença
"['mecanismo', 'adaptar', 'kernel', 'method']",diferença
"['extra', 'trees']",extra trees
"['como', 'gerar', 'extra', 'trees']",extra trees
"['defina', 'extra', 'tree']",extra trees
"['contextualizar', 'processo', 'criação', 'extra', 'trees']",extra trees
"['resultado', 'passo', 'extra', 'randomização']",extra trees
"['citar', 'dois', 'caracteristicas', 'extra', 'trees']",extra trees
"['extra', 'trees', 'diferenciar', 'forests', 'ordinário']",extra trees
"['extra', 'trees', 'possuir', 'diferença', 'forests', 'ordinário', 'jusitifique']",extra trees
"['sao', 'diferença', 'entre', 'extra', 'trees', 'e', 'forests', 'ordinário']",extra trees
"['defina', 'extra', 'trees', 'partir', 'sua', 'carcteristicas', 'proprias']",extra trees
"['citar', 'consequencia', 'natural', 'preditores', 'forests']",funcionamento
"['construção', 'preditores', 'ter', 'importantae', 'consequencia']",funcionamento
"['ocorrer', 'gerar', '-se', 'preditores']",funcionamento
"['consequencia', 'gerar', 'preditores']",funcionamento
"['efeito', 'colateral', 'construção', 'preditores', 'forests']",funcionamento
"['importância', 'hiperparâmetro', 'max', 'features']",nEstimators
"['definir', 'importância', 'hiperparâmetro', 'max', 'features']",nEstimators
"['explicar', 'importância', 'hiperparâmetro', 'max', 'features']",nEstimators
"['dizer', 'importância', 'hiperparâmetro', 'max', 'features']",nEstimators
"['como', 'hiperparâmetro', 'max', 'features', 'afetar']",nEstimators
['aplicar'],aplicacao
"['poder', 'aplicar']",aplicacao
"['onde', 'poder', 'aplicar']",aplicacao
"['área', 'aplicação']",aplicacao
"['quê', 'aplicar']",aplicacao
[],conceito
['tratar'],conceito
['definir'],conceito
"['único', 'solucionar', 'o(s)', 'problema(s)', 'propor']",comparacao
"['haver', 'outro', 'além', 'do', 'solucionar', 'mesmo', 'problema']",comparacao
"['existir', 'mais', 'solucionar', 'mesmo', 'problema']",comparacao
"['existir', 'alternativas']",comparacao
"['possível', 'paralelizar']",funcionamento
"['poder', 'paralelizar']",funcionamento
"['poder', 'haver', 'implementar', 'paralela']",funcionamento
"['paralelismo', 'poder', 'aplicar', 'implementar']",funcionamento
"['utilizar', 'programar', 'dinâmico', 'resolução', 'problema']",funcionamento
"['fazer', 'uso', 'programar', 'dinâmico', 'resolver', 'problema']",funcionamento
"['programar', 'dinâmico', 'aplicar', 'resolução', 'problema']",funcionamento
"['força', 'bruto']",conceito
"['utilizar', 'força', 'bruto']",conceito
"['técnica', 'força', 'bruto', 'fazer', 'parte']",conceito
"['poder', 'considerar', 'simples', 'implementar']",conceito
"['simples', 'implementar']",conceito
"['implementar', 'poder', 'fazer', 'maneira', 'simples']",conceito
"['utilidade', 'hiperparâmetros']",hiperparametro
"['finalidade', 'hiperparâmetros']",hiperparametro
"['quê', 'servir', 'hiperparâmetros']",hiperparametro
"['utilizar', 'hiperparâmetros', 'finalidade']",hiperparametro
"['como', 'dado', 'organizar', 'estrutural']",funcionamento
"['estrutura', 'dado', 'utilizar']",funcionamento
"['estrutura', 'dado', 'utilizar']",funcionamento
"['autor', 'primeira', 'versão']",historia
['criador'],historia
"['primeiro', 'desenvolver']",historia
['elaborar'],historia
"['desenvolver', 'inicial']",historia
"['importância', 'característica']",conceito
"['relevância', 'característica']",conceito
['aproximação'],funcionamento
['aproximação'],funcionamento
"['pertencer', 'categoria', 'aproximação']",funcionamento
"['enquadrar', 'categoria', 'aproximação']",funcionamento
['classificação'],funcionamento
['classificação'],funcionamento
"['poder', 'usar', 'classificação']",funcionamento
"['possível', 'usar', 'classificação']",funcionamento
"['classe', 'compressão']",funcionamento
['compressão'],funcionamento
"['encaixar', 'categoria', 'compressão']",funcionamento
['regressão'],funcionamento
"['possível', 'usar', 'regressão']",funcionamento
"['regressão', 'possibilidade', 'com', 'uso']",funcionamento
"['resolver', 'problema', 'forma', 'eficiente']",funcionamento
"['vantagem', 'utilizar']",vantagens
['pró'],vantagens
"['vantagem', 'randdom', 'possuir']",vantagens
"['vantagem', 'utilizar']",desvantagens
['contra'],desvantagens
"['vantagem', 'possuir']",desvantagens
"['com', 'tipo', 'entradas', 'poder', 'trabalhar']",funcionamento
"['tipo', 'entradas', 'aceitar']",funcionamento
